LCSC#,MPN,Manufacturer,Package,Description,Quantity,Unit Price($),Extended Price($),Source,Flag
C307445,CL05C221JB5NNNC,Samsung,0402,220pF ±5% 50V C0G 0402 Cap,100,0.0045,0.45,Cart 1,NEAR DUPE: C1530 220pF 0402 (100 on hand) — C0G vs X7R
C315248,CL05A106MP5NUNC,Samsung,0402,10uF ±20% 10V X5R 0402 Cap,40,0.0095,0.38,Cart 1,NEAR DUPE: C15525 10uF 0402 (200 on hand)
C6119792,CGA0402X5R105K160GT,HRE,0402,1uF ±10% 16V X5R 0402 Cap,100,0.0022,0.22,Cart 1,NEAR DUPE: C5448871 1uF 0402 (200 on hand)
C307423,CL05A475MQ5NRNC,Samsung,0402,4.7uF ±20% 6.3V X5R 0402 Cap,50,0.0035,0.18,Cart 1,
C307709,MLG0603P2N0BT000,TDK,0201,2nH 600mA Inductor 0201,50,0.0034,0.17,Cart 1,
C307711,MLG0603P3N0CT000,TDK,0201,3nH 450mA Inductor 0201,100,0.0014,0.14,Cart 1,
C7496803,F.0402.00003/P2-0402R1TS2-045T-001,TUOZHAN,0402,Red 630nm LED 0402,100,0.0074,0.74,Cart 1,
C270603,0402WGF402KTCE,UNI-ROYAL,0402,4.02Ω ±1% 62.5mW 0402 Resistor,100,0.0009,0.09,Cart 1,
C114765,RC0402FR-0722RL,YAGEO,0402,22Ω ±1% 62.5mW 0402 Resistor,100,0.0009,0.09,Cart 1,
C367479,WR02X1181FAL,Walsin,0201,1.18kΩ ±1% 50mW 0201 Resistor,100,0.0016,0.16,Cart 1,
C190862,W25Q128JVPIQ,Winbond,WSON-8-EP(5x6),128Mbit NOR Flash SPI 133MHz,10,2.3853,23.85,Cart 1,
C3202839,XT25F128FWOIGT-W,XTX,WSON-8-EP(5x6),128Mbit NOR Flash SPI 133MHz,5,1.5858,7.93,Cart 1,
C2928889,GD25LQ128EWIGR,GigaDevice,WSON-8-EP(5x6),128Mbit NOR Flash 1.65V~2V 120MHz,5,1.5908,7.95,Cart 1,
C2802861,MX25U12832FZNI02,MXIC,WSON-8-EP(5x6),128Mbit NOR Flash SPI 133MHz,1,1.2602,1.26,Cart 1,
C49023728,HC-DC0167A-F-2WB-2.5-M-08,HCTL,-,DC Power Jack 2.5mm/5.5mm 5A 20V,20,0.4986,9.97,Cart 2,
C2843781,XL-2835RGBC-KS,XINGLIGHT,SMD2835-2P,RGB LED SMD2835,10,0.0388,0.39,Cart 2,
C2880552,DC-016-2.5A-2.0,XKB Connection,Through Hole,DC Barrel Jack 2mm ID 5.5mm OD TH,5,0.1228,0.61,Cart 2,
C34388683,DC-509-ARL200-H142,XUNPU,Through Hole,DC Barrel Jack 2mm ID 5.5mm OD TH,5,0.4606,2.30,Cart 2,
C2907044,FRC0603F5101TS,FOJAN,0603,5.1kΩ ±1% 100mW 0603 Resistor,100,0.0012,0.12,Cart 2,
C105872,RC0402FR-075K1L,YAGEO,0402,5.1kΩ ±1% 62.5mW 0402 Resistor,100,0.0009,0.09,Cart 2,NEAR DUPE: C25905 5.1kΩ 0402 (200 on hand)
C27834,0805W8F5101T5E,UNI-ROYAL,0805,5.1kΩ ±1% 125mW 0805 Resistor,100,0.0024,0.24,Cart 2,
C29936,CL10B105KA8NNNC,Samsung,0603,1uF ±10% 25V X7R 0603 Cap,50,0.0064,0.32,Cart 2,
C59782,CL10B105KO8NNNC,Samsung,0603,1uF ±10% 16V X7R 0603 Cap,50,0.0058,0.29,Cart 2,
C42371093,MIC-4013-G-G00,SAMZO,"SMD,D=4mm",MEMS Microphone SMD,10,0.0571,0.57,Cart 2,
C347222,AMS1117-3.3,UMW,SOT-223,3.3V LDO Regulator 1A,100,0.0319,3.19,Cart 2,
C114662,RC0603FR-072K2L,YAGEO,0603,2.2kΩ ±1% 100mW 0603 Resistor,100,0.0015,0.15,Cart 2,
C114762,RC0402FR-072K2L,YAGEO,0402,2.2kΩ ±1% 62.5mW 0402 Resistor,100,0.0009,0.09,Cart 2,NEAR DUPE: C2906865 2.2kΩ 0402 (100 on hand)
C105881,RC0603FR-07330RL,YAGEO,0603,330Ω ±1% 100mW 0603 Resistor,100,0.0015,0.15,Cart 2,
C105875,RC0402FR-07330RL,YAGEO,0402,330Ω ±1% 62.5mW 0402 Resistor,100,0.0009,0.09,Cart 2,
C22548,RC0603FR-071KL,YAGEO,0603,1kΩ ±1% 100mW 0603 Resistor,100,0.0014,0.14,Cart 2,
C106235,RC0402FR-071KL,YAGEO,0402,1kΩ ±1% 62.5mW 0402 Resistor,100,0.0008,0.08,Cart 2,
C60491,RC0402FR-07100KL,YAGEO,0402,100kΩ ±1% 62.5mW 0402 Resistor,100,0.0009,0.09,Cart 2,
C14675,RC0603FR-07100KL,YAGEO,0603,100kΩ ±1% 100mW 0603 Resistor,100,0.0014,0.14,Cart 2,
C19702,CL10A106KP8NNNC,Samsung,0603,10uF ±10% 10V X5R 0603 Cap,50,0.0080,0.40,Cart 2,
C2655167,VL6180V1NR/1,ST,SMD-12P,ToF Distance Sensor 0~62cm I2C,10,1.3896,13.90,Cart 2,
